TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,PIRTIP
12484,2013-07-01,3999-12-31,NAGYDOBOS KÖZSÉG ÖNKORMÁNYZATA,732527,1
12484,2013-07-01,3999-12-31,NYÍRMEGGYES KÖZSÉG ÖNKORMÁNYZATA,732549,1
12484,2013-07-01,3999-12-31,VAJA VÁROS ÖNKORMÁNYZAT,732572,1
12484,2013-07-01,3999-12-31,NYÍRKÁTA KÖZSÉG ÖNKORMÁNYZATA,734961,1
12484,2013-07-01,3999-12-31,GYŐRTELEK KÖZSÉG ÖNKORMÁNYZATA,735089,1
12484,2013-07-01,3999-12-31,JÁRMI KÖZSÉG ÖNKORMÁNYZATA,404947,1
12485,2013-06-18,3999-12-31,MÁRIAHALOM KÖZSÉG ÖNKORMÁNYZATA,387051,1
12485,2013-06-18,3999-12-31,GYERMELY KÖZSÉG ÖNKORMÁNYZATA,385761,1
12486,2013-07-01,3999-12-31,LAKITELEK ÖNKORMÁNYZATA,724627,1
12486,2013-07-01,3999-12-31,TISZAALPÁR NAGYKÖZSÉGI ÖNKORMÁNYZAT,724649,1
12486,2013-10-28,3999-12-31,NYÁRLŐRINC KÖZSÉGI ÖNKORMÁNYZAT,724715,1
12487,2013-07-01,3999-12-31,SZAKÁLY KÖZSÉG ÖNKORMÁNYZATA,414577,1
12487,2013-07-01,3999-12-31,SZAKÁLY KÖZSÉG ÖNKORMÁNYZATA,414577,4
12488,2013-07-01,3999-12-31,JÁND KÖZSÉG ÖNKORMÁNYZATA,403467,1
12488,2013-07-01,3999-12-31,KISVARSÁNY KÖZSÉG ÖNKORMÁNYZATA,735232,1
12488,2013-07-01,3999-12-31,VÁSÁROSNAMÉNY VÁROS ÖNKORMÁNYZATA,731849,1
12488,2013-07-01,3999-12-31,OLCSVA KÖZSÉG ÖNKORMÁNYZATA,403478,1
12489,2013-07-01,3999-12-31,BODROGHALOM KÖZSÉG ÖNKORMÁNYZATA,726182,1
12489,2013-07-01,3999-12-31,KAROS KÖZSÉG  ÖNKORMÁNYZATA,545738,1
1249,2009-01-01,3999-12-31,ANDORNAKTÁLYA KÖZSÉGI ÖNKORMÁNYZAT,729161,1
1249,2009-01-01,3999-12-31,ANDORNAKTÁLYA KÖZSÉGI ÖNKORMÁNYZAT,729161,4
12490,2013-07-01,3999-12-31,KOPPÁNYSZÁNTÓ KÖZSÉG ÖNKORMÁNYZATA,417710,1
12490,2013-07-01,3999-12-31,ÉRTÉNY KÖZSÉG ÖNKORMÁNYZATA,417480,1
12491,2013-07-02,3999-12-31,GYERMELY-MÁRIAHALOM KÖZOKTATÁSI INTÉZMÉNYFENNTARTÓ TÁRSULÁS,820323,1
12491,2013-07-02,3999-12-31,GYERMELY-MÁRIAHALOM KÖZOKTATÁSI INTÉZMÉNYFENNTARTÓ TÁRSULÁS,820323,4
12492,2013-07-01,3999-12-31,BAKONYTAMÁSI KÖZSÉG ÖNKORMÁNYZATA,426826,1
12492,2013-07-01,3999-12-31,SOKORÓPÁTKA KÖZSÉG ÖNKORMÁNYZATA,728274,1
12492,2013-07-01,3999-12-31,GIC KÖZSÉG ÖNKORMÁNYZATA,431769,1
12493,2013-06-30,3999-12-31,ŐRBOTTYÁN VÁROS ÖNKORMÁNYZATA,731124,1
12493,2013-06-30,3999-12-31,KISNÉMEDI KÖZSÉG ÖNKORMÁNYZATA,441773,1
12494,2013-07-01,3999-12-31,ACSALAG KÖZSÉGI ÖNKORMÁNYZAT,370093,1
12494,2013-07-01,3999-12-31,CAKÓHÁZA KÖZSÉG ÖNKORMÁNYZATA,370169,1
12494,2013-07-01,3999-12-31,MAGLÓCA KÖZSÉG ÖNKORMÁNYZATA,370455,1
12494,2013-07-01,3999-12-31,CSORNA VÁROS ÖNKORMÁNYZATA,728010,1
12494,2013-07-01,3999-12-31,TÁRNOKRÉTI KÖZSÉG ÖNKORMÁNYZATA,370752,1
12494,2013-07-01,3999-12-31,BŐSÁRKÁNY NAGYKÖZSÉG ÖNKORMÁNYZATA,727727,1
12494,2013-07-01,3999-12-31,RÁBCAKAPI KÖZSÉG ÖNKORMÁNYZATA,370664,1
12495,2013-07-01,3999-12-31,GÉRCE KÖZSÉG ÖNKORMÁNYZATA,421041,1
12495,2013-07-01,3999-12-31,VASHOSSZÚFALU KÖZSÉG ÖNKORMÁNYZATA,424404,1
12495,2013-07-01,3999-12-31,VÁSÁROSMISKE KÖZSÉG ÖNKORMÁNYZATA,423650,1
12495,2013-07-01,3999-12-31,HOSSZÚPERESZTEG KÖZSÉG ÖNKORMÁNYZATA,421612,1
12496,2013-07-01,3999-12-31,CSÁKBERÉNY KÖZSÉG ÖNKORMÁNYZAT,362171,1
12496,2013-07-01,3999-12-31,KINCSESBÁNYA ÖNKORMÁNYZATA,362203,1
12496,2013-07-01,3999-12-31,ISZTIMÉR KÖZSÉG ÖNKORMÁNYZATA,362258,1
12496,2013-07-01,3999-12-31,MAGYARALMÁS KÖZSÉG ÖNKORMÁNYZATA,727266,1
12496,2013-07-01,3999-12-31,MÓR VÁROSI ÖNKORMÁNYZAT,727222,1
12496,2013-07-01,3999-12-31,FEHÉRVÁRCSURGÓ KÖZSÉG ÖNKORMÁNYZAT,727255,1
